trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env,GPT2-small-fr/s
2.0,8394.0,18.68327402135232,35.29062870699883,1182.8028839961446,621.1986885676157,31.07095495705216,34.69750889679716,4.448398576512456,5.619065556043005,0.4817142857142857,suj_1,1.0,3.5,14.7,6.681299153030413
2.0,8394.0,16.014234875444842,30.2491103202847,1013.8310434252672,532.4560187722419,26.632247106044712,29.740721911540422,3.8129130655821046,4.816341905179719,0.5619999999999999,suj_1,1.0,3.0,12.6,5.72682784545464
2.0,8394.0,13.345195729537366,25.20759193357059,844.8592028543892,443.7133489768684,22.19353925503725,24.78393492628369,3.1774275546517536,4.013618254316432,0.6744,suj_1,1.0,2.5,10.5,4.772356537878867
2.0,8394.0,10.676156583629894,20.166073546856467,675.8873622835114,354.9706791814947,17.754831404029805,19.82714794102695,2.541942043721403,3.2108946034531463,0.843,suj_1,1.0,2.0,8.4,3.8178852303030935
3.0,12885.0,29.62085308056871,59.24170616113744,1669.8653829531988,797.1192642180092,41.05701673386899,56.7027758970887,7.616790792146242,11.865309965614962,0.3376,suj_1,0.2857142857142857,5.0,24.5,10.276762371379617
3.0,12885.0,26.65876777251184,53.3175355450237,1502.878844657879,717.4073377962085,36.951315060482095,51.03249830737983,6.855111712931618,10.678778969053466,0.3751111111111112,suj_1,0.5714285714285714,4.5,22.05,9.249086134241654
3.0,12885.0,23.69668246445497,47.39336492890995,1335.892306362559,637.6954113744075,32.84561338709519,45.362220717670965,6.0934326337169935,9.49224797249197,0.422,suj_1,0.7142857142857143,4.0,19.6,8.221409897103692
3.0,12885.0,20.734597156398102,41.46919431279621,1168.9057680672393,557.9834849526065,28.73991171370829,39.69194312796209,5.331753554502369,8.305716975930475,0.4822857142857143,suj_1,0.8571428571428571,3.5,17.150000000000002,7.193733659965731
3.0,12885.0,17.772511848341228,35.54502369668246,1001.9192297719194,478.2715585308056,24.63421004032139,34.02166553825322,4.570074475287745,7.119185979368978,0.5626666666666668,suj_1,1.0,3.0,14.7,6.16605742282777
3.0,12885.0,14.810426540284356,29.62085308056872,834.9326914765994,398.5596321090047,20.528508366934496,28.35138794854435,3.808395396073121,5.932654982807481,0.6752,suj_1,1.0,2.5,12.25,5.138381185689807
