trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env
3.0,12885.0,26.65876777251184,53.3175355450237,15.02878844657879,7.174073377962085,36.951315060482095,51.032498307379825,6.855111712931618,10.678778969053466,0.3751111111111112,suj_1,0.5714285714285714,4.5,22.05
3.0,12885.0,23.69668246445497,47.39336492890995,13.358923063625591,6.376954113744075,32.84561338709519,45.362220717670965,6.0934326337169935,9.49224797249197,0.422,suj_1,0.7142857142857143,4.0,19.6
3.0,12885.0,20.734597156398106,41.46919431279621,11.689057680672393,5.5798348495260655,28.739911713708292,39.69194312796209,5.331753554502369,8.305716975930475,0.4822857142857143,suj_1,0.8571428571428571,3.5,17.150000000000002
3.0,12885.0,17.772511848341228,35.54502369668246,10.019192297719194,4.782715585308056,24.63421004032139,34.02166553825322,4.570074475287745,7.119185979368978,0.5626666666666668,suj_1,1.0,3.0,14.7
3.0,12885.0,14.810426540284356,29.62085308056872,8.349326914765994,3.9855963210900467,20.528508366934496,28.35138794854435,3.808395396073121,5.932654982807481,0.6752,suj_1,1.0,2.5,12.25
3.0,12885.0,11.848341232227485,23.696682464454977,6.6794615318127954,3.1884770568720375,16.422806693547596,22.681110358835483,3.0467163168584968,4.746123986245985,0.8440000000000001,suj_1,1.0,2.0,9.8
4.0,17644.0,30.43213633597078,66.95069993913572,13.098070666920265,8.799845465611686,40.07566497441707,51.29988696635075,9.564385705590821,8.722673099856083,0.3286,suj_1,0.0,5.0,23.000000000000004
4.0,17644.0,27.388922702373705,60.25562994522215,11.788263600228237,7.919860919050516,36.06809847697537,46.16989826971568,8.607947135031736,7.850405789870473,0.3651111111111111,suj_1,0.0,4.5,20.700000000000006
4.0,17644.0,24.345709068776628,53.560559951308576,10.478456533536212,7.039876372489348,32.060531979533664,41.0399095730806,7.651508564472656,6.9781384798848665,0.41075,suj_1,1.0,4.0,18.4
4.0,17644.0,21.30249543517955,46.86548995739501,9.168649466844188,6.15989182592818,28.05296548209196,35.90992087644553,6.695069993913574,6.105871169899258,0.4694285714285714,suj_1,1.0,3.5,16.1
